step,phase,rev,total_revs,direction,cable_retracted_mm,disp_mm,cog_x,cog_y,cog_z,J_min,fem_time_s,servo_time_s,h_conv_W_m2K,T_min_C,T_max_C,T_avg_C,Q_watts,thermal_time_s,timestamp
1,forward,1,1,CW,10.0,-10.0,-1.6489,-0.0135,106.7079,0,17.759,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.077,2026-03-26T20:52:07.706426
2,forward,2,2,CW,20.0,-20.0,-3.1886,-0.5222,103.2441,0,8.096,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.075,2026-03-26T20:52:17.344342
3,forward,3,3,CW,30.0,-30.0,-4.6002,-1.2942,99.4396,0,7.251,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.075,2026-03-26T20:52:26.136695
4,forward,4,4,CW,40.0,-40.0,-5.8855,-2.2074,95.2907,0,7.185,1.263157894736842,7050.7,59.99,60.0,60.0,0.0384,0.076,2026-03-26T20:52:34.863138
5,forward,5,5,CW,50.0,-50.0,-7.0672,-3.2151,90.8062,0,7.267,1.263157894736842,6895.06,59.99,60.0,60.0,0.0377,0.077,2026-03-26T20:52:43.673543
6,backward,1,6,CCW,40.0,-40.0,-5.8855,-2.2074,95.2907,0,7.238,1.263157894736842,7050.7,59.99,60.0,60.0,0.0384,0.076,2026-03-26T20:52:52.453025
7,backward,2,7,CCW,30.0,-30.0,-4.6002,-1.2942,99.4396,0,7.226,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.075,2026-03-26T20:53:01.219747
8,backward,3,8,CCW,20.0,-20.0,-3.1886,-0.5222,103.2441,0,7.234,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.075,2026-03-26T20:53:09.996606
9,backward,4,9,CCW,10.0,-10.0,-1.6489,-0.0135,106.7079,0,7.882,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.076,2026-03-26T20:53:19.421761
10,backward,5,10,CCW,0.0,-0.0,-0.0181,-0.0221,109.8414,0,17.096,1.263157894736842,7111.09,59.99,60.0,60.0,0.0387,0.075,2026-03-26T20:53:38.060039
